scenario_id,scenario_name,funding_architecture,weighted_access,weighted_provider_viability,weighted_equity,weighted_fiscal_control,weighted_hospital_pressure,weighted_gaming_risk,weighted_welfare,supply_generation_index,equity_legitimacy_index,governance_resilience_index,hospital_deflection_index,implementation_readiness_index,fiscal_gaming_risk_index,interaction_penalty,hybrid_viability_score,model_interpretation,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
P5,ACC activity constraint shock,unspecified architecture,33.59,34.3,60.33,79.3,75.21,20.27,42.95,16.01,41.84,58.04,28.91,42.88,15.69,15.25,20.98,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,480,0.0,0.3478,0.4142,0.5886,0.3816,0.3874,0.8006,0.4721,0.6106,0.3118,0.6233,0.6925,0.2951,0.2274,0.3598,0.5857,0.5911,0.9538,0.7476,0.527,0.0,0.311,0.1057
P5,ACC activity constraint shock,unspecified architecture,33.49,34.18,59.69,80.02,76.4,19.88,42.79,15.79,41.08,59.14,27.54,43.31,15.52,15.69,20.36,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,93,0.0169,0.2847,0.2968,0.5393,0.413,0.5042,0.9016,0.3899,0.6564,0.3694,0.6159,0.6393,0.2971,0.0927,0.2534,0.3662,0.5982,0.8771,0.6827,0.6892,0.0684,0.291,0.2507
P4,Benefits without adequate controls,unspecified architecture,67.83,67.29,57.44,63.92,50.12,31.51,56.56,65.3,40.01,47.5,53.26,42.26,38.28,13.37,37.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,276,0.9123,0.5973,0.894,0.1742,0.6927,0.6701,0.5928,0.5359,0.5635,0.3232,0.4056,0.9432,0.4151,0.2794,0.6217,0.5479,0.0,0.6465,0.425,0.3482,0.9046,0.3208,0.4239
P1,Capitation reweighting plus access target,unspecified architecture,41.56,39.27,69.4,81.33,67.47,17.45,50.03,20.06,53.69,65.62,38.46,58.41,11.03,11.36,33.81,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,874,0.0409,0.7202,0.4056,0.7018,0.8306,0.405,0.9471,0.6877,0.4943,0.6071,0.6603,0.6179,0.5329,0.2744,0.3894,0.6443,0.0,0.8403,0.7389,0.716,0.0022,0.4428,0.5429
P8,Direct claims and PHO intermediation reform only,unspecified architecture,45.54,45.48,61.0,79.25,66.0,18.24,50.1,35.06,42.53,65.89,35.68,56.8,16.65,11.01,35.14,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,869,0.1767,0.3832,0.4976,0.2108,0.4474,0.4673,0.8297,0.66,0.5916,0.3864,0.5241,0.6409,0.3727,0.2814,0.3019,0.6509,0.0199,0.9032,0.7839,0.7604,0.8045,0.5065,0.4838
P1,Capitation reweighting plus access target,unspecified architecture,41.82,41.08,67.49,78.55,68.22,19.23,49.08,22.15,51.76,64.43,35.04,59.41,12.02,12.42,32.04,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,920,0.1322,0.7588,0.2951,0.58,0.5889,0.4861,0.9407,0.6166,0.5566,0.5488,0.6477,0.7441,0.5388,0.2543,0.2906,0.7676,0.0468,0.7892,0.8805,0.5862,0.0,0.5428,0.4749
P1,Capitation reweighting plus access target,unspecified architecture,45.03,43.93,70.67,77.67,65.4,20.03,51.28,25.86,54.52,62.54,40.08,58.99,14.81,10.61,35.92,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,844,0.2076,0.7515,0.2886,0.6108,0.7363,0.529,0.8036,0.6002,0.6616,0.5313,0.8105,0.7464,0.5,0.2677,0.4246,0.6359,0.0889,0.75,0.7617,0.5844,0.1084,0.6184,0.4307
P2,National Primary Care Benefits Schedule,unspecified architecture,64.82,63.41,73.39,69.9,50.22,19.47,61.76,57.9,56.67,63.86,49.29,64.31,17.31,6.52,51.41,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,462,0.6916,0.76,0.7026,0.354,0.5868,0.4987,0.8654,0.5592,0.3865,0.5612,0.7657,0.6391,0.7624,0.5902,0.5282,0.7446,0.0797,0.6234,0.8002,0.7348,0.8081,0.6567,0.6854
P1,Capitation reweighting plus access target,unspecified architecture,41.35,39.65,73.15,79.41,68.79,19.93,49.88,21.35,58.06,63.04,35.27,58.63,13.16,12.28,32.76,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,887,0.0357,0.7644,0.3347,0.5803,0.7224,0.4955,0.9595,0.6084,0.6245,0.6558,0.8617,0.667,0.3483,0.2599,0.2526,0.7034,0.0064,0.8592,0.8254,0.551,0.1835,0.4718,0.4993
P6,Ambulance alternatives only,unspecified architecture,40.2,38.49,65.91,83.32,66.89,16.25,49.39,19.59,47.53,70.11,43.91,62.29,10.34,12.88,33.75,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,34,0.0,0.4329,0.3895,0.5487,0.3376,0.8234,0.932,0.6698,0.5521,0.5376,0.5735,0.7169,0.4872,0.2851,0.8312,0.5908,0.136,0.8658,0.8492,0.8574,0.0,0.5449,0.6115
P5,ACC activity constraint shock,unspecified architecture,39.42,39.65,65.72,77.14,71.06,19.96,46.98,23.09,47.85,60.55,29.99,48.92,13.73,13.7,26.96,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,634,0.1923,0.3374,0.4288,0.6005,0.3718,0.3556,0.9729,0.5113,0.5253,0.4918,0.7098,0.6726,0.4682,0.1931,0.2634,0.5352,0.477,0.8663,0.8336,0.5884,0.0666,0.3368,0.2684
P7,Scope-enabled provider supply only,unspecified architecture,58.08,56.94,68.96,71.88,55.66,21.47,56.97,47.93,49.92,62.05,43.84,58.45,18.9,11.15,40.72,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,805,0.5865,0.2206,0.8788,0.3884,0.6003,0.4531,0.9317,0.6296,0.5832,0.6711,0.684,0.6909,0.3638,0.2477,0.3724,0.6867,0.0878,0.7859,0.8573,0.5722,0.3998,0.3672,0.7158
P1,Capitation reweighting plus access target,unspecified architecture,41.31,40.69,67.03,78.14,69.08,20.02,48.43,22.62,50.78,63.32,34.78,56.64,13.08,11.92,31.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,585,0.1262,0.6594,0.2249,0.5043,0.6659,0.3536,0.93,0.5535,0.652,0.5978,0.6603,0.6164,0.4185,0.3298,0.3414,0.6242,0.0955,0.8332,0.9069,0.5728,0.1066,0.4155,0.5163
P8,Direct claims and PHO intermediation reform only,unspecified architecture,44.84,44.65,63.07,79.02,66.86,18.21,50.05,33.88,43.76,65.07,35.44,55.8,16.34,11.03,34.69,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,459,0.1489,0.2918,0.4472,0.2788,0.4261,0.4997,0.9482,0.6043,0.5414,0.3618,0.6152,0.6198,0.5246,0.2959,0.3295,0.6701,0.0909,0.9104,0.759,0.7719,0.8806,0.5526,0.4066
P6,Ambulance alternatives only,unspecified architecture,40.3,39.8,64.07,80.8,67.97,18.31,48.27,20.25,43.99,64.86,42.29,56.08,13.23,12.66,31.18,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,465,0.0235,0.2581,0.35,0.6171,0.5654,0.7418,0.8703,0.5858,0.6865,0.4424,0.6228,0.5712,0.5236,0.2902,0.6913,0.878,0.083,0.8818,0.7942,0.6915,0.1157,0.5131,0.4668
P2,National Primary Care Benefits Schedule,unspecified architecture,72.35,70.02,74.45,70.39,43.66,17.92,66.57,66.52,57.75,67.27,57.34,67.94,15.92,4.68,58.59,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,347,0.8947,0.7927,0.7059,0.2699,0.8324,0.6516,0.8191,0.8119,0.522,0.5411,0.7963,0.735,0.5772,0.5627,0.5247,0.7113,0.1704,0.5069,0.8211,0.7743,0.8538,0.6304,0.7087
P0,Current source-informed baseline,unspecified architecture,38.79,39.85,60.13,76.47,71.92,20.98,45.18,21.55,41.66,58.68,29.63,46.66,16.82,14.95,23.43,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,496,0.1831,0.3639,0.3246,0.6707,0.4716,0.3124,0.8192,0.4171,0.5688,0.3265,0.5953,0.8332,0.3281,0.2642,0.2663,0.7214,0.0564,0.8182,0.7477,0.5994,0.0,0.3225,0.3704
P3,Full upstream access architecture,unspecified architecture,74.59,70.38,82.33,72.7,39.37,15.61,70.43,68.56,65.85,72.05,63.94,77.13,12.11,3.34,65.6,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,575,0.7727,0.8064,0.8537,0.3134,0.8256,0.7655,0.6886,0.8599,0.4283,0.7886,0.8905,0.8067,0.7619,0.8465,0.7693,0.7069,0.0936,0.5119,0.8823,0.8676,0.9504,0.6854,0.988
P0,Current source-informed baseline,unspecified architecture,36.72,37.09,63.45,78.28,72.92,20.0,45.2,18.15,45.47,60.47,29.41,48.43,13.13,13.59,25.2,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,886,0.0545,0.4023,0.3165,0.539,0.392,0.4785,0.8536,0.409,0.5629,0.4488,0.6502,0.6509,0.4267,0.2277,0.2704,0.5861,0.0,0.8989,0.822,0.6237,0.0,0.3938,0.2692
P1,Capitation reweighting plus access target,unspecified architecture,42.8,42.43,67.41,77.81,67.05,19.22,49.61,24.25,51.66,61.17,38.45,52.14,13.66,11.83,32.22,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,574,0.2019,0.7187,0.3962,0.699,0.6078,0.4343,0.8867,0.5828,0.5472,0.5105,0.6967,0.6137,0.4106,0.2127,0.5031,0.7257,0.106,0.7444,0.6904,0.6506,0.0045,0.4181,0.3613
P3,Full upstream access architecture,unspecified architecture,73.33,68.52,79.91,71.8,40.33,17.53,68.57,67.37,63.59,69.56,63.47,75.3,14.43,3.44,63.91,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,262,0.7049,0.8221,0.9208,0.1249,0.8248,0.9065,0.5654,0.8007,0.2604,0.7243,0.7948,0.6099,0.7316,0.7002,0.7313,0.7904,0.0,0.5367,0.8458,0.7926,0.9259,0.7869,0.8662
P0,Current source-informed baseline,unspecified architecture,37.93,38.59,62.09,76.8,71.64,21.0,45.24,20.76,43.48,58.69,31.56,49.37,14.19,13.89,25.4,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,12,0.1015,0.2996,0.3471,0.6173,0.3163,0.5226,0.8303,0.4497,0.5761,0.5194,0.5485,0.697,0.406,0.2489,0.3739,0.596,0.1011,0.7708,0.7923,0.4884,0.0315,0.4321,0.3297
P1,Capitation reweighting plus access target,unspecified architecture,43.56,41.82,68.89,78.66,67.32,18.75,50.24,24.29,53.02,64.0,37.08,56.68,12.25,11.46,33.76,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,879,0.1715,0.758,0.3396,0.6429,0.8001,0.5315,0.9863,0.5407,0.5514,0.6348,0.6484,0.6421,0.4282,0.4144,0.2738,0.6872,0.1635,0.8045,0.7687,0.7402,0.0,0.5615,0.3837
P6,Ambulance alternatives only,unspecified architecture,41.75,41.0,67.05,81.97,65.98,16.59,50.35,22.6,48.62,68.13,42.49,60.47,11.35,11.9,34.7,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,845,0.0824,0.3676,0.3865,0.5997,0.3816,0.7292,0.8853,0.772,0.5905,0.5209,0.6508,0.6192,0.4815,0.1882,0.6811,0.7847,0.1498,0.7701,0.8156,0.7365,0.1051,0.574,0.424
P4,Benefits without adequate controls,unspecified architecture,66.51,65.39,54.61,63.13,51.64,35.41,54.17,62.0,36.47,43.9,54.99,41.22,42.92,15.46,33.71,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,802,0.8299,0.5838,0.9441,0.1883,0.8627,0.718,0.7943,0.4988,0.5787,0.2581,0.3167,0.9069,0.4124,0.2507,0.6892,0.6545,0.0127,0.7892,0.3863,0.1728,0.8805,0.4435,0.3484
P5,ACC activity constraint shock,unspecified architecture,37.61,36.55,64.04,78.42,72.83,20.17,45.49,20.17,45.63,59.27,30.24,46.29,13.89,13.03,25.94,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,517,0.0674,0.2369,0.3769,0.5497,0.4986,0.4191,0.8648,0.4129,0.514,0.5706,0.6194,0.7612,0.5087,0.1927,0.2815,0.4763,0.5894,0.905,0.7136,0.6527,0.1751,0.2306,0.431
P5,ACC activity constraint shock,unspecified architecture,33.73,34.52,61.97,82.39,75.18,17.55,44.44,16.81,44.59,63.11,28.15,49.88,13.8,14.87,23.92,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,142,0.0,0.5174,0.3818,0.5436,0.2542,0.5032,0.9717,0.5866,0.6386,0.3685,0.6141,0.6201,0.508,0.209,0.282,0.3473,0.7496,0.9426,0.6586,0.7442,0.0935,0.4288,0.2768
P7,Scope-enabled provider supply only,unspecified architecture,52.2,52.3,68.29,73.82,60.14,20.64,54.21,42.47,49.45,63.6,40.02,60.12,16.8,11.64,38.49,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,131,0.4252,0.2931,0.8062,0.3787,0.4105,0.3839,0.9843,0.5848,0.5904,0.5991,0.7013,0.6218,0.3608,0.2562,0.4489,0.7915,0.1591,0.7913,0.9171,0.5917,0.4607,0.5038,0.6157
P5,ACC activity constraint shock,unspecified architecture,39.38,39.63,62.1,76.99,71.65,20.21,46.01,23.27,43.42,59.91,30.35,46.43,14.0,12.12,27.4,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,645,0.1989,0.4035,0.4147,0.6542,0.5386,0.5752,0.8025,0.3453,0.6142,0.4637,0.5746,0.5827,0.4968,0.3557,0.1657,0.5082,0.6599,0.8476,0.7871,0.7025,0.0,0.363,0.2791
P0,Current source-informed baseline,unspecified architecture,38.48,38.49,62.06,78.78,71.04,19.14,46.15,19.88,43.69,61.3,32.57,48.8,14.07,13.87,25.96,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,478,0.1038,0.3332,0.4291,0.5828,0.3899,0.5359,0.8736,0.5096,0.4965,0.3697,0.6132,0.6878,0.3889,0.0819,0.3544,0.7294,0.0732,0.8896,0.737,0.6752,0.0132,0.3257,0.384
P3,Full upstream access architecture,unspecified architecture,76.47,72.4,83.91,72.72,37.93,13.69,72.22,70.78,68.4,74.2,63.8,79.02,8.47,2.87,67.77,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,616,0.8562,1.0,0.8094,0.1006,0.8115,0.8752,0.7396,0.8583,0.4156,0.7502,0.9433,0.8446,0.9838,0.8364,0.6581,0.6412,0.0165,0.4878,0.9144,0.9689,0.7832,0.7032,1.0
P8,Direct claims and PHO intermediation reform only,unspecified architecture,44.46,44.88,61.36,79.01,67.27,18.93,49.42,35.47,42.97,63.66,35.03,54.09,16.95,10.62,34.73,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,501,0.1303,0.3657,0.3587,0.106,0.4824,0.3439,0.847,0.6381,0.5862,0.3994,0.5467,0.6792,0.4235,0.393,0.3483,0.6667,0.0,0.7466,0.7084,0.7145,0.8505,0.393,0.5505
P8,Direct claims and PHO intermediation reform only,unspecified architecture,45.64,45.16,63.67,76.97,66.73,18.66,50.07,32.0,45.13,63.99,36.14,53.5,15.51,10.27,34.83,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,915,0.2269,0.3136,0.1419,0.2381,0.3563,0.526,0.8683,0.4915,0.4915,0.4095,0.6506,0.6875,0.599,0.2512,0.4251,0.8154,0.084,0.9296,0.7914,0.8112,0.8309,0.3942,0.5171
P6,Ambulance alternatives only,unspecified architecture,41.51,40.85,60.88,79.91,66.94,18.43,48.06,20.83,41.65,66.3,43.98,56.27,13.46,13.85,30.43,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,253,0.1275,0.3472,0.2465,0.6387,0.4475,0.8367,0.8891,0.6189,0.5994,0.3796,0.508,0.7409,0.4372,0.1366,0.7716,0.7931,0.1764,0.7578,0.9255,0.6941,0.0289,0.4885,0.4102
P5,ACC activity constraint shock,unspecified architecture,37.65,38.42,62.95,78.33,72.63,20.1,45.62,20.17,44.39,59.33,28.2,47.72,16.03,14.67,23.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,125,0.1803,0.2735,0.375,0.58,0.4905,0.346,0.8472,0.5598,0.7461,0.4545,0.6845,0.6256,0.4246,0.0951,0.13,0.3573,0.5537,0.9284,0.7249,0.5362,0.0,0.3163,0.3224
P0,Current source-informed baseline,unspecified architecture,39.2,40.4,63.58,78.24,71.05,19.59,46.84,23.27,45.66,60.41,30.98,47.97,14.7,12.88,27.5,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,440,0.1383,0.4021,0.3442,0.6627,0.4289,0.3729,0.8258,0.4842,0.6885,0.5268,0.629,0.6152,0.5133,0.2944,0.3029,0.5606,0.1626,0.7984,0.7386,0.653,0.2143,0.2945,0.3742
P0,Current source-informed baseline,unspecified architecture,37.04,38.6,60.01,79.64,72.19,18.38,45.44,19.98,41.49,62.63,31.21,48.59,13.23,15.27,24.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,946,0.0881,0.3421,0.4114,0.6143,0.2651,0.4446,0.9562,0.5127,0.6275,0.4495,0.5043,0.6462,0.4762,0.2502,0.4183,0.8102,0.1528,0.8745,0.7822,0.7175,0.0123,0.324,0.3469
P0,Current source-informed baseline,unspecified architecture,38.05,38.68,61.89,78.01,71.9,20.04,45.6,18.7,42.84,60.88,30.6,50.35,13.84,13.47,25.59,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,976,0.1,0.306,0.2813,0.5356,0.5032,0.4996,0.8072,0.4484,0.6514,0.4219,0.6111,0.6135,0.5205,0.1467,0.2263,0.7655,0.0157,0.9111,0.8157,0.5996,0.0,0.4748,0.2949
P1,Capitation reweighting plus access target,unspecified architecture,40.65,40.12,68.31,80.0,68.94,18.45,49.06,21.46,52.48,63.19,34.44,55.98,13.11,11.39,32.18,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,401,0.106,0.672,0.3348,0.6404,0.6306,0.4594,0.8091,0.6568,0.5511,0.4937,0.7472,0.6357,0.3848,0.1114,0.2597,0.7306,0.1134,0.706,0.6816,0.6603,0.0603,0.4957,0.4258
P2,National Primary Care Benefits Schedule,unspecified architecture,67.05,64.1,72.92,71.7,48.08,17.81,63.33,58.53,56.7,66.6,53.62,65.01,15.23,6.37,53.37,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,456,0.7418,0.7642,0.6187,0.2079,0.7321,0.5034,0.9423,0.76,0.4214,0.5926,0.7152,0.6765,0.5841,0.5954,0.5907,0.6568,0.2087,0.7412,0.8069,0.7828,0.7771,0.5414,0.7012
P7,Scope-enabled provider supply only,unspecified architecture,51.44,51.04,67.86,75.45,60.58,19.88,54.04,40.94,48.02,65.22,40.1,62.15,16.13,11.99,38.14,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,204,0.3735,0.2094,0.8499,0.3123,0.4735,0.4842,0.8467,0.5168,0.7152,0.6972,0.6534,0.7362,0.4292,0.1865,0.4169,0.74,0.2236,0.8124,0.8966,0.6934,0.4015,0.5805,0.6997
P5,ACC activity constraint shock,unspecified architecture,33.96,35.3,61.22,79.73,75.71,19.54,43.57,17.96,43.16,60.25,26.74,45.61,14.3,14.85,22.48,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,299,0.03,0.4005,0.3012,0.4853,0.3192,0.497,0.912,0.4409,0.6659,0.394,0.6273,0.6152,0.3617,0.355,0.2139,0.4951,0.5857,0.859,0.7756,0.6368,0.0,0.1987,0.3851
P1,Capitation reweighting plus access target,unspecified architecture,40.23,40.79,65.58,80.16,69.58,18.57,48.38,21.62,49.88,65.67,36.17,58.86,14.27,13.01,31.43,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,819,0.0811,0.8908,0.3004,0.5702,0.6534,0.4322,1.0,0.5582,0.6817,0.3391,0.724,0.6215,0.4932,0.2344,0.4288,0.7135,0.0712,0.789,0.8605,0.703,0.1047,0.5386,0.5006
P6,Ambulance alternatives only,unspecified architecture,40.4,38.93,63.98,80.55,67.44,18.28,48.16,20.33,45.07,65.26,43.05,59.01,13.26,12.47,32.23,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,682,0.0232,0.4276,0.4765,0.6322,0.3872,0.8191,0.8314,0.5292,0.5572,0.4424,0.5734,0.6042,0.4128,0.3152,0.8065,0.6105,0.0598,0.9994,0.742,0.746,0.099,0.513,0.714
P1,Capitation reweighting plus access target,unspecified architecture,39.33,39.28,65.46,79.17,69.86,19.64,47.42,21.39,49.0,62.97,34.84,58.16,13.45,11.48,31.77,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,473,0.035,0.7364,0.4039,0.72,0.5933,0.4881,0.8626,0.5876,0.5618,0.4434,0.6187,0.5547,0.3524,0.3644,0.3552,0.7351,0.1638,0.728,0.8053,0.5458,0.0885,0.543,0.5217
P8,Direct claims and PHO intermediation reform only,unspecified architecture,46.28,44.94,65.28,79.01,65.26,17.9,51.27,32.93,46.96,66.23,38.66,57.88,15.11,9.88,37.41,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,875,0.1943,0.3834,0.2521,0.169,0.4746,0.513,0.878,0.6793,0.5158,0.3652,0.6901,0.6394,0.4301,0.3053,0.4306,0.6872,0.15,0.9771,0.7879,0.7711,0.8157,0.4641,0.5319
P8,Direct claims and PHO intermediation reform only,unspecified architecture,44.26,44.3,62.52,78.72,67.65,18.7,49.45,33.23,44.31,63.73,34.13,51.44,15.74,12.18,32.31,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,655,0.1863,0.306,0.3655,0.132,0.3329,0.489,0.9414,0.6408,0.5836,0.4632,0.5852,0.768,0.5084,0.2166,0.3109,0.6555,0.1976,0.8672,0.783,0.721,0.7324,0.3633,0.3425
P2,National Primary Care Benefits Schedule,unspecified architecture,65.06,62.78,74.86,72.99,49.1,17.77,63.05,57.65,58.84,66.26,53.2,67.0,15.86,5.77,54.23,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,272,0.6305,0.8476,0.7344,0.302,0.7584,0.5148,0.8785,0.7202,0.4864,0.6617,0.7474,0.635,0.5902,0.6977,0.6068,0.6434,0.062,0.6009,0.7216,0.7884,0.7339,0.659,0.738
P2,National Primary Care Benefits Schedule,unspecified architecture,67.68,65.4,76.73,71.97,46.92,18.22,64.71,60.08,60.7,67.48,54.0,69.92,15.33,6.29,55.47,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,783,0.7073,0.8076,0.7461,0.2743,0.7266,0.4858,1.0,0.812,0.4723,0.6404,0.8304,0.595,0.626,0.5608,0.5745,0.7625,0.0762,0.6357,0.8481,0.7123,0.8157,0.6784,0.7159
P4,Benefits without adequate controls,unspecified architecture,68.71,68.57,57.52,63.5,49.56,32.7,56.84,65.66,40.35,46.72,55.36,43.18,41.14,14.65,37.1,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,121,0.9592,0.6176,0.8484,0.1708,0.6651,0.7113,0.6937,0.5842,0.7318,0.4023,0.4068,0.8521,0.2729,0.2723,0.7163,0.7229,0.0647,0.798,0.3903,0.2956,0.9958,0.4346,0.3328
P8,Direct claims and PHO intermediation reform only,unspecified architecture,43.45,43.87,63.18,80.42,67.34,17.44,49.87,29.98,45.77,66.98,34.58,57.9,14.57,11.46,34.14,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,697,0.1781,0.3718,0.1521,0.2299,0.3068,0.4004,0.7559,0.7642,0.6657,0.4921,0.607,0.669,0.3368,0.1075,0.3585,0.7327,0.1817,0.8136,0.7881,0.7508,0.7615,0.5023,0.4287
P1,Capitation reweighting plus access target,unspecified architecture,42.96,41.37,66.86,77.77,67.26,20.06,49.16,22.93,51.74,61.37,37.93,54.01,13.72,12.56,31.35,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,62,0.1593,0.8341,0.3835,0.6767,0.6987,0.4853,0.9083,0.594,0.4747,0.4577,0.6652,0.8199,0.5456,0.0817,0.3949,0.5505,0.0527,0.7602,0.7761,0.5625,0.0681,0.4285,0.4034
P6,Ambulance alternatives only,unspecified architecture,42.23,40.57,65.62,80.13,66.06,18.07,49.49,22.91,46.23,66.26,43.68,59.79,11.54,11.78,34.23,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,651,0.0751,0.3436,0.3322,0.5138,0.4359,0.822,0.9067,0.6292,0.5121,0.4631,0.5943,0.7385,0.5811,0.3952,0.7313,0.7208,0.1467,0.8335,0.8472,0.6852,0.0576,0.5347,0.5684
P8,Direct claims and PHO intermediation reform only,unspecified architecture,50.0,50.52,62.88,75.56,63.51,19.09,52.2,40.47,44.14,63.55,35.25,55.99,17.85,10.77,36.31,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,622,0.3832,0.3338,0.4144,0.2136,0.3856,0.4471,0.9008,0.592,0.5936,0.4117,0.6074,0.6276,0.4304,0.3539,0.2203,0.6684,0.0,0.8864,0.7396,0.7423,0.7863,0.4895,0.5446
P0,Current source-informed baseline,unspecified architecture,34.58,34.86,61.43,80.11,74.27,19.1,44.06,13.09,43.38,60.58,29.79,47.28,12.82,15.66,21.45,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,546,0.0,0.3222,0.2336,0.6888,0.3236,0.4774,0.9281,0.5227,0.6212,0.485,0.5698,0.6806,0.4167,0.1531,0.355,0.5985,0.0632,0.9997,0.7385,0.6064,0.0038,0.3016,0.3212
P2,National Primary Care Benefits Schedule,unspecified architecture,67.12,65.38,74.62,68.88,49.1,20.71,62.78,60.67,59.55,62.78,48.39,64.5,18.81,6.26,52.48,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,467,0.7344,0.8794,0.6526,0.3699,0.6814,0.456,0.8991,0.6031,0.4224,0.7686,0.7062,0.6994,0.7839,0.6121,0.3663,0.6803,0.0,0.5475,0.8176,0.6495,0.9211,0.5952,0.7192
P3,Full upstream access architecture,unspecified architecture,78.68,73.51,80.67,71.69,36.08,13.37,72.45,71.13,65.33,72.68,68.16,73.75,9.09,2.96,67.16,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,200,0.926,0.8953,0.8462,0.1529,0.9977,0.8347,0.6221,0.8907,0.3215,0.7931,0.7987,0.6643,0.8497,0.5808,0.7848,0.8088,0.0,0.5435,0.8483,0.9912,0.821,0.6312,0.8336
